Crash ID,Record Type,Vehicle ID,Participant ID,Participant Display Seq#,Vehicle Coded Seq#,Participant Vehicle Seq#
1845755,3,3476516,3961284,1,1,1
1845755,3,3476517,3961285,2,2,1
1845835,3,3476660,3961454,1,1,1
1845835,3,3476661,3961455,2,2,1
1845949,3,3476870,3961699,1,1,1
1845949,3,3476871,3961700,2,2,1
1845964,3,3476904,3961735,1,1,1
1845964,3,3476905,3961736,2,2,1
1845971,3,3476916,3961753,1,1,1
1845971,3,3476917,3961754,2,2,1
1845971,3,3476917,3961755,3,2,2
1845975,3,3476924,3961763,1,1,1
1845975,3,3476924,3961764,2,1,2
1845975,3,3476925,3961765,3,2,1
1845982,3,3476940,3961782,1,1,1
1845982,3,3476940,3961783,2,1,2
1845982,3,3476941,3961784,3,2,1
1845982,3,3476942,3961785,4,3,1
1846015,3,3477001,3961855,1,1,1
1846015,3,3477002,3961856,2,2,1
1846016,3,3477003,3961857,1,1,1
1846016,3,3477004,3961858,2,2,1
1846016,3,3477004,3961859,3,2,2
1846021,3,3477013,3961869,1,1,1
1846021,3,3477014,3961870,2,2,1
1846139,3,3477239,3962152,1,1,1
1846139,3,3477240,3962153,2,2,1
1846145,3,3477249,3962163,1,1,1
1846145,3,3477250,3962164,2,2,1
1846158,3,3477271,3962188,1,1,1
1846158,3,3477272,3962189,2,2,1
1846237,3,3477417,3962366,1,1,1
1846237,3,3477418,3962367,2,2,1
1846303,3,3477530,3962505,1,1,1
1846303,3,3477531,3962506,2,2,1
1846303,3,3477531,3962507,3,2,2
1846318,3,3477559,3962541,1,1,1
1846318,3,3477560,3962542,2,2,1
1846364,3,3477647,3962645,1,1,1
1846364,3,3477648,3962646,2,2,1
1846364,3,3477648,3962647,3,2,2
1846364,3,3477648,3962648,4,2,3
1846364,3,3477648,3962649,5,2,4
1846373,3,3477664,3962665,1,1,1
1846373,3,3477665,3962666,2,2,1
1846373,3,3477666,3962667,3,3,1
1846424,3,3477762,3962782,1,1,1
1846424,3,3477763,3962783,2,2,1
1846442,3,3477794,3962825,1,1,1
1846442,3,3477795,3962826,2,2,1
1846452,3,3477814,3962847,1,1,1
1846452,3,3477815,3962848,2,2,1
1846543,3,3477990,3963052,1,1,1
1846555,3,3478014,3963079,1,1,1
1846575,3,3478049,3963118,1,1,1
1846575,3,3478049,3963119,2,1,2
1846575,3,3478050,3963120,3,2,1
1846641,3,3478172,3963266,1,1,1
1846641,3,3478173,3963267,2,2,1
1846699,3,3478280,3963395,1,1,1
1846699,3,3478281,3963396,2,2,1
1846707,3,3478296,3963414,1,1,1
1846707,3,3478297,3963415,2,2,1
1846797,3,3478477,3963621,1,1,1
1846797,3,3478478,3963622,2,2,1
1846812,3,3478499,3963646,1,1,1
1846812,3,3478500,3963647,2,2,1
1846840,3,3478549,3963697,1,1,1
1846840,3,3478550,3963698,2,2,1
1846840,3,3478551,3963699,3,3,1
1846965,3,3478791,3963976,1,1,1
1846965,3,3478792,3963977,2,2,1
1847023,3,3478893,3964096,1,1,1
1847023,3,3478894,3964097,2,2,1
1847026,3,3478898,3964102,1,1,1
1847026,3,3478899,3964103,2,2,1
1847080,3,3479000,3964224,1,1,1
1847080,3,3479001,3964225,2,2,1
1847084,3,3479007,3964232,1,1,1
1847084,3,3479008,3964233,2,2,1
1847084,3,3479008,3964234,3,2,2
1847184,3,3479200,3964465,1,1,1
1847184,3,3479201,3964466,2,2,1
1847234,3,3479295,3964580,1,1,1
1847234,3,3479296,3964581,2,2,1
1847234,3,3479296,3964582,3,2,2
1847234,3,3479297,3964583,4,3,1
1847302,3,3479429,3964736,1,1,1
1847302,3,3479430,3964737,2,2,1
1847308,3,3479442,3964751,1,1,1
1847308,3,3479443,3964752,2,2,1
1847308,3,3479443,3964753,3,2,2
1847313,3,3479451,3964762,1,1,1
1847313,3,3479452,3964763,2,2,1
1847332,3,3479488,3964804,1,1,1
1847332,3,3479489,3964805,2,2,1
1847352,3,3479530,3964855,1,1,1
1847352,3,3479531,3964856,2,2,1
1847352,3,3479531,3964857,3,2,2
1847358,3,3479542,3964874,1,1,1
1847358,3,3479543,3964875,2,2,1
1847358,3,3479544,3964876,3,3,1
1847366,3,3479559,3964896,1,1,1
1847366,3,3479560,3964897,2,2,1
1847371,3,3479570,3964907,1,1,1
1847371,3,3479571,3964908,2,2,1
1847371,3,3479572,3964909,3,3,1
1847378,3,3479587,3964924,1,1,1
1847378,3,3479588,3964925,2,2,1
1847385,3,3479601,3964940,1,1,1
1847385,3,0,3964941,2,,1
1847483,3,3479794,3965167,1,1,1
1847491,3,3479809,3965184,1,1,1
1847491,3,3479810,3965185,2,2,1
1847491,3,3479810,3965186,3,2,2
1847491,3,3479810,3965187,4,2,3
1847491,3,3479811,3965188,5,3,1
1847500,3,3479827,3965210,1,1,1
1847500,3,3479828,3965211,2,2,1
1847540,3,3479904,3965304,1,1,1
1847540,3,3479905,3965305,2,2,1
1847540,3,3479905,3965306,3,2,2
1847540,3,3479906,3965307,4,3,1
1847540,3,3479907,3965308,5,4,1
1847575,3,3479972,3965383,1,1,1
1847575,3,3479973,3965384,2,2,1
1847575,3,3479974,3965385,3,3,1
1847575,3,3479974,3965386,4,3,2
1847667,3,3480148,3965601,1,1,1
1847667,3,3480149,3965602,2,2,1
1847722,3,3480269,3965747,1,1,1
1847722,3,3480270,3965748,2,2,1
1847722,3,3480270,3965749,3,2,2
1847722,3,3480270,3965750,4,2,3
1847889,3,3480591,3966132,1,1,1
1847889,3,3480592,3966133,2,2,1
1847898,3,3480608,3966157,1,1,1
1847898,3,3480608,3966158,2,1,2
1847898,3,3480609,3966159,3,2,1
1847900,3,3480612,3966162,1,1,1
1847900,3,3480613,3966163,2,2,1
1847900,3,3480614,3966164,3,3,1
1847935,3,3480682,3966244,1,1,1
1847935,3,3480683,3966245,2,2,1
1847935,3,3480684,3966246,3,3,1
1847949,3,3480709,3966276,1,1,1
1847949,3,3480710,3966277,2,2,1
1847949,3,3480711,3966278,3,3,1
1847958,3,3480728,3966297,1,1,1
1847958,3,3480729,3966298,2,2,1
1848047,3,3480900,3966514,1,1,1
1848047,3,3480901,3966515,2,2,1
1848054,3,3480915,3966530,1,1,1
1848054,3,3480916,3966531,2,2,1
1848083,3,3480966,3966593,1,1,1
1848083,3,3480967,3966594,2,2,1
1848156,3,3481101,3966750,1,1,1
1848156,3,3481102,3966751,2,2,1
1848156,3,3481103,3966752,3,3,1
1848222,3,3481234,3966910,1,1,1
1848222,3,3481235,3966911,2,2,1
1848270,3,3481325,3967025,1,1,1
1848270,3,3481326,3967026,2,2,1
1848270,3,3481326,3967027,3,2,2
1848337,3,3481446,3967168,1,1,1
1848337,3,3481447,3967169,2,2,1
1848347,3,3481471,3967195,1,1,1
1848347,3,3481472,3967196,2,2,1
1848347,3,3481473,3967197,3,3,1
1848359,3,3481494,3967220,1,1,1
1848359,3,3481495,3967221,2,2,1
1848489,3,3481741,3967525,1,1,1
1848489,3,3481742,3967526,2,2,1
1848512,3,3481795,3967592,1,1,1
1848512,3,3481796,3967593,2,2,1
1848553,3,3481864,3967678,1,1,1
1848553,3,3481865,3967679,2,2,1
1848565,3,3481887,3967704,1,1,1
1848565,3,3481888,3967705,2,2,1
1848616,3,3481983,3967823,1,1,1
